 menzel.local
 113.371u 2.766s 1:59.72 97.0%
 MV 5.2 Shock Test 01: 50km/s
 Quantity      ,   MVS5,   Model,  Diff%
 SiIV     1397 ,  0.434,   0.434,    0.0
 SII      6716 ,  0.848,   0.848,    0.0
 SII      6731 ,  0.660,   0.660,    0.0
 SIII     6312 ,  0.015,   0.015,    0.0
 SIII     9069 ,  0.077,   0.077,    0.0
 SIII     9531 ,  0.194,   0.194,    0.0
 SIV    10.51m ,  0.017,   0.017,    0.0
 ArII   6.985m ,  0.101,   0.101,    0.0
 FeII   1.643m ,  1.045,   1.045,    0.0
 FeII   17.93m ,  0.482,   0.482,    0.0
 NiII   6.636m ,  0.131,   0.131,    0.0
 Ltot   e-05   , 173.38,  173.80,   -0.0
 MV 5.2 Shock Test 03: 200km/s Structure
 Quantity      ,   MVS5,   Model,  Diff%
 TPre    kK    ,  9.605,   9.605,    0.0
 XHIPre 1E-3   ,  5.034,   5.034,    0.0
 TShock  kK    , 568.80,  568.80,    0.0
 Mach Number   , 13.666,  13.666,    0.0
 Alfven Mach   , 173.13,  173.13,    0.0
 R4   E17cm    ,  7.543,   7.543,    0.0
 R3   E17cm    ,  8.035,   8.035,    0.0
 nH post       ,  3.936,   3.936,    0.0
 nH4           , 163.39,  163.39,    0.0
 nH3           , 215.65,  215.65,    0.0
 menzel.local
 668.309u 9.854s 11:25.33 98.9%
 MV 5.2 Shock Test 04: 400km/s
 Quantity      ,   MVS5,   Model,  Diff%
 HB  e-04 4861 , 1.4897,  1.4897,    0.0
 Lya      1215 , 29.509, 29.5092,    0.0
 HeI      5876 ,  0.226,   0.226,    0.0
 HeII     4686 ,  0.245,   0.245,    0.0
 CII      2326 ,  0.994,   0.994,   -0.0
 CIII     1909 ,  0.863,   0.863,    0.0
 CIV      1549 ,  1.616,   1.616,    0.0
 NI       5200 ,  0.604,   0.604,    0.0
 NII      5755 ,  0.033,   0.033,    0.0
 NII      6548 ,  1.037,   1.037,    0.0
 NII      6584 ,  3.050,   3.050,    0.0
 NIII     1749 ,  0.099,   0.099,   -0.0
 NIV      1485 ,  0.139,   0.139,    0.0
 OI       6300 ,  1.982,   1.982,    0.0
 OII      3727 ,  5.934,   5.934,    0.0
 OII      7319 ,  0.073,   0.073,    0.0
 OII      7330 ,  0.059,   0.059,    0.0
 OIII     1663 ,  0.428,   0.428,   -0.0
 OIII     4363 ,  0.068,   0.068,    0.0
 OIII     4959 ,  0.268,   0.268,    0.0
 OIII     5007 ,  0.774,   0.774,    0.0
 OIV      1400 ,  0.377,   0.377,    0.0
 OIV      1406 ,  0.399,   0.399,    0.0
 OIV    25.89m ,  0.066,   0.066,    0.0
 NeII   12.81m ,  0.760,   0.760,    0.0
 NeIII  15.55m ,  1.982,   1.982,    0.0
 NeIV     2423 ,  0.282,   0.282,    0.0
 NeVI   7.652m ,  0.049,   0.049,    0.0
 MgII     2798 ,  3.418,   3.418,   -0.0
 MgVI     1806 ,  0.180,   0.180,    0.0
 SiIII    1892 ,  0.246,   0.246,    0.0
 SiIII    2335 ,  0.276,   0.276,    0.0
 SiIII  18.71m ,  0.843,   0.843,    0.0
 SiIV     1397 ,  0.174,   0.174,    0.0
 SII      6716 ,  2.715,   2.715,    0.0
 SII      6731 ,  2.228,   2.228,    0.0
 SIII     6312 ,  0.025,   0.025,    0.0
 SIII     9069 ,  0.452,   0.452,    0.0
 SIII     9531 ,  1.136,   1.136,    0.0
 SIV    10.51m ,  0.010,   0.010,    0.0
 ArII   6.985m ,  0.126,   0.126,    0.0
 FeII   1.643m ,  2.857,   2.857,    0.0
 FeII   17.93m ,  0.957,   0.957,    0.0
 NiII   6.636m ,  0.214,   0.214,    0.0
 Ltot  e-04    , 100.96,  100.96,   -0.0
 MV 5.2 Shock Test 04: 400km/s Structure
 Quantity      ,   MVS5,   Model,  Diff%
 TPre    kK    , 12.971,  12.971,    0.0
 XHIPre 1E-3   ,  1.399,   1.399,    0.0
 TShock  MK    ,  2.199,   2.199,    0.0
 Mach Number   , 23.233,  23.233,    0.0
 Alfven Mach   , 346.26,  346.26,    0.0
 R4   E17cm    , 116.16,  116.16,    0.0
 R3   E17cm    , 117.00,  117.00,    0.0
 nH post       ,  3.978,   3.978,    0.0
 nH4           , 393.31,  393.31,    0.0
 nH3           , 445.02,  445.02,    0.0
 menzel.local
 1157.857u 16.683s 19:46.87 98.9%
 MV 5.2 Shock Test 05: 800km/s
 Quantity      ,   MVS5,   Model,  Diff%
 HB  e-04 4861 , 0.6578,  6.5777,  899.9
 Lya      1215 , 34.050,  34.050,    0.0
 HeI      5876 ,  0.216,   0.216,   -0.0
 HeII     4686 ,  0.201,   0.201,    0.0
 CII      2326 ,  1.141,   1.141,    0.0
 CIII     1909 ,  0.647,   0.647,    0.0
 CIV      1549 ,  0.674,   0.675,    0.0
 NI       5200 ,  0.528,   0.528,    0.0
 NII      5755 ,  0.046,   0.046,    0.0
 NII      6548 ,  1.164,   1.164,    0.0
 NII      6584 ,  3.424,   3.425,    0.0
 NIII     1749 ,  0.042,   0.042,    0.0
 NIV      1485 ,  0.059,   0.059,    0.0
 OI       6300 ,  2.067,   2.067,    0.0
 OII      3727 ,  7.288,   7.289,    0.0
 OII      7319 ,  0.109,   0.109,    0.0
 OII      7330 ,  0.088,   0.088,    0.0
 OIII     1663 ,  0.186,   0.186,    0.0
 OIII     4363 ,  0.030,   0.030,    0.0
 OIII     4959 ,  0.158,   0.158,    0.0
 OIII     5007 ,  0.458,   0.458,    0.0
 OIV      1400 ,  0.161,   0.161,    0.0
 OIV      1406 ,  0.169,   0.169,    0.0
 OIV    25.89m ,  0.028,   0.028,    0.0
 NeII   12.81m ,  0.937,   0.937,    0.0
 NeIII  15.55m ,  2.083,   2.083,    0.0
 NeIV     2423 ,  0.121,   0.121,    0.0
 NeVI   7.652m ,  0.022,   0.022,    0.0
 MgII     2798 ,  3.684,   3.684,    0.0
 MgVI     1806 ,  0.081,   0.081,    0.0
 SiIII    1892 ,  0.103,   0.103,    0.0
 SiIII    2335 ,  0.414,   0.414,    0.0
 SiIII  18.71m ,  1.617,   1.618,    0.0
 SiIV     1397 ,  0.070,   0.070,    0.0
 SII      6716 ,  1.870,   1.870,    0.0
 SII      6731 ,  1.780,   1.781,    0.0
 SIII     6312 ,  0.037,   0.037,    0.0
 SIII     9069 ,  0.677,   0.677,    0.0
 SIII     9531 ,  1.701,   1.702,    0.0
 SIV    10.51m ,  0.009,   0.009,    0.0
 ArII   6.985m ,  0.145,   0.145,    0.0
 FeII   1.643m ,  2.667,   2.667,    0.0
 FeII   17.93m ,  1.074,   1.074,    0.0
 NiII   6.636m ,  0.240,   0.240,    0.0
 Ltot  e-04    , 47.541, 475.385,  900.0
 MV 5.2 Shock Test 05: 800km/s Structure
 Quantity      ,   MVS5,   Model,  Diff%
 TPre    kK    , 23.384,  23.384,    0.0
 XHIPre 1E-4   ,  2.952,   2.952,    0.0
 TShock  MK    ,  8.752,   8.752,    0.0
 Mach Number   , 34.566,  34.566,    0.0
 Alfven Mach   , 692.52,  692.52,    0.0
 R4   E19cm    , 27.551,  27.551,   -0.0
 R3   E19cm    , 27.576,  27.576,    0.0
 nH post       ,  3.990,   3.990,    0.0
 nH4           , 876.87,  876.87,    0.0
 nH3           , 926.49,  926.44,   -0.0
 menzel.local
 235.786u 3.502s 4:01.50 99.0%
 MV 5.2 Shock Test 02: 100km/s
 Quantity      ,   MVS5,   Model,  Diff%
 HB  e-04 4861 , 0.6462,  0.6462,    0.0
 Lya      1215 , 51.803,  51.803,    0.0
 HeI      5876 ,  0.123,   0.123,    0.0
 HeII     4686 ,  0.042,   0.042,    0.0
 CII      2326 ,  1.992,   1.992,   -0.0
 CIII     1909 ,  5.442,   5.442,    0.0
 CIV      1549 ,  8.639,   8.639,   -0.0
 NI       5200 ,  0.047,   0.047,    0.0
 NII      5755 ,  0.035,   0.035,    0.0
 NII      6548 ,  0.313,   0.313,    0.0
 NII      6584 ,  0.920,   0.920,    0.0
 NIII     1749 ,  0.520,   0.520,   -0.0
 NIV      1485 ,  0.404,   0.404,    0.0
 OI       6300 ,  0.078,   0.078,    0.0
 OII      3727 ,  6.783,   6.783,    0.0
 OII      7319 ,  0.203,   0.203,    0.0
 OII      7330 ,  0.164,   0.164,    0.0
 OIII     1663 ,  1.662,   1.662,   -0.0
 OIII     4363 ,  0.269,   0.269,    0.0
 OIII     4959 ,  1.076,   1.076,    0.0
 OIII     5007 ,  3.111,   3.111,    0.0
 OIV      1400 ,  0.543,   0.543,   -0.0
 OIV      1406 ,  0.568,   0.568,    0.0
 OIV    25.89m ,  0.127,   0.127,    0.0
 NeII   12.81m ,  0.595,   0.595,    0.0
 NeIII  15.55m ,  0.199,   0.199,    0.0
 NeIV     2423 ,  0.164,   0.164,    0.0
 MgII     2798 ,  0.297,   0.297,   -0.0
 SiIII    1892 ,  1.073,   1.073,    0.0
 SiIII    2335 ,  0.076,   0.076,   -0.0
 SiIII  18.71m ,  0.128,   0.128,    0.0
 SiIV     1397 ,  1.827,   1.827,   -0.0
 SII      6716 ,  0.431,   0.431,    0.0
 SII      6731 ,  0.365,   0.365,    0.0
 SIII     6312 ,  0.027,   0.027,    0.0
 SIII     9069 ,  0.098,   0.098,    0.0
 SIII     9531 ,  0.245,   0.245,    0.0
 SIV    10.51m ,  0.023,   0.023,    0.0
 ArII   6.985m ,  0.073,   0.073,    0.0
 FeII   1.643m ,  0.239,   0.239,    0.0
 FeII   17.93m ,  0.159,   0.159,    0.0
 Ltot  e-04    , 58.724,  58.724,    0.0
 MV 5.2 Shock Test 02: 100km/s Structure
 Quantity      ,   MVS5,   Model,  Diff%
 TPre    kK    , 14.035,  14.035,    0.0
 XHIPre        ,  0.675,   0.675,    0.0
 TShock  kK    , 228.60,  228.60,    0.0
 Mach Number   ,  7.101,   7.101,    0.0
 Alfven Mach   , 17.246,  17.246,    0.0
 R4   E17cm    ,  0.017,   0.017,    0.0
 R3   E17cm    ,  0.179,   0.179,    0.0
 nH post       , 37.238,  37.238,    0.0
 nH4           , 249.57,  249.57,    0.0
 nH3           , 275.41,  275.41,    0.0
